domain,statusCode,titleName,copyrightName,aboutName,addresses
freepreschoolcrafts.com,200,Free Preschool Crafts,Devanie M. Angel,Free Preschool Crafts,
myharddrivedied.com,200,,,MyHardDriveDied.com,"601b Industrial Court,  Woodstock, Ga 30189"
donedealestatesales.com,404,,,,
mitigationtrainingacademy.com,200,,,,
mis-erpsolutions.ca,200,"Epicor ERP Sales & Consulting | MIS Consulting & Sales, Inc.","Copyright ©2020 MIS Consulting & Sales, Inc. – All Rights Reserved. – Privacy Policy",,"Copyright ©2020 MIS Consulting & Sales, Inc. – All Rights Reserved. – Privacy Policy, 1260 NW Waterhouse Avenue, Suite 190, Beaverton, OR 97006 | Phone: 503-614-1919"
horshamautotech.com.au,200,"Horsham Auto Tech - Horsham Autotech - automotive servicing and repair centre specialising in servicing and repairs, automotive LPG, automotive air-conditioning, automotive computer diagnostics, roadworthy and safety inspections and exhaust fitting and repairs",Copyright © 2013 Horsham Autotech,,
cbtsystems.co.uk,200,Dr Francisco J Flores  – Counselling Psychologist and CBT Therapist in Tonbridge,GoDaddy,,
southwesternofficesuppliesok.com,200,Southwestern Office Products | 405 525-9411 ext 4255,"Copyright © Southwestern Group of Companies, Inc 2019 | All rights reserved | 405 525-9411 | Site Maintained By Southwestern",,
jquinlan.com,200,Quinlan Custom software Development,Copyright © - All Rights Reserved.,,
tiyu.pro,200,TIYU - IT Consultant,,,
westonitsolutions.com,fail,,,,[]
setwavegroup.com,200,SetWave | Helping financial services companies with innovative marketing,,INNOVATIVE MARKETING,
thebeaumont-louth.co.uk,200,The Beaumont Hotel,,,"For All Enquiries please telephone 01507 607768, The Beaumont Hotel, 66 Victoria Road, Louth, Lincolnshire LN11 0BX"
sublimeservings.com,200,KWB Entertainment Inc | 800-200-9935,,,
pacificwebdesigns.net,200,Sonoma County Web Development & Design - Blairworks,,,
bathurstdrugmart.com,200,"Bathurst Drug Mart in Toronto, Ontario",EXNP Inc. |,,
robertlackey.com,200,,,,
pvds.tech,200,PVDS Technology s.r.o.,,,
